gender,Title_MRS,Unit_Location_CAULFIELD,Unit_Location_CLAYTON,Class_ON-CAMPUS,fail,d_hd,hd,a1_ratio,a2_ratio,a3_ratio
1,0,1,0,1,0,1,1,0.992,0.8333333333333334,0.95
0,0,1,0,1,0,1,1,1.0,0.88,0.83
0,0,1,0,1,0,1,0,0.9880000000000001,0.84,0.8
1,0,1,0,1,0,0,0,0.9199999999999999,0.6333333333333333,0.6
0,0,1,0,1,1,0,0,0.9970000000000001,0.8200000000000001,0.6452
1,0,1,0,1,1,0,0,0.991,0.84,0.82
1,0,1,0,1,0,0,0,0.983,0.8533333333333334,0.66
1,0,1,0,1,1,0,0,1.0,0.8533333333333334,0.81
0,0,1,0,1,0,1,0,0.819,0.84,0.95
0,0,1,0,1,0,1,0,0.983,0.88,0.64
0,0,1,0,1,0,0,0,0.9650000000000001,0.8666666666666667,0.82
1,0,1,0,1,0,1,0,0.9710000000000001,0.84,0.82
0,0,1,0,1,0,1,0,0.9949999999999999,0.8533333333333334,0.92
0,0,1,0,1,0,1,0,0.933,0.8333333333333334,0.6652
1,0,1,0,1,0,1,0,1.0,0.8866666666666667,0.6252
0,0,1,0,1,0,1,0,0.9810000000000001,0.8113333333333334,0.78
0,0,1,0,1,0,0,0,0.732,0.6446666666666666,0.81
1,0,1,0,1,0,0,0,0.992,0.8733333333333333,0.6851999999999999
1,0,1,0,1,0,1,1,0.9869999999999999,0.7533333333333334,0.92
0,0,1,0,1,1,0,0,0.584,0.602,0.28
0,0,1,0,0,0,0,0,1.0,0.9,0.6652
0,0,1,0,1,0,1,0,0.9890000000000001,0.8533333333333334,0.88
0,0,1,0,1,0,1,0,0.9949999999999999,0.8933333333333333,0.72
1,0,1,0,1,0,1,1,0.9570000000000001,0.8553333333333334,0.83
0,0,1,0,0,0,0,0,0.697,0.678,0.72
1,0,1,0,1,0,0,0,0.897,0.8113333333333334,0.72
1,0,1,0,1,1,0,0,0.0,0.0,0.0
1,0,1,0,1,0,0,0,0.743,0.6513333333333333,0.61
1,0,1,0,1,0,0,0,0.7969999999999999,0.7966666666666666,0.64
1,0,1,0,1,0,1,1,0.976,0.8466666666666666,0.93
1,0,1,0,1,1,0,0,0.892,0.88,0.55
0,0,1,0,1,0,1,0,0.944,0.6286666666666666,0.82
0,0,1,0,1,0,1,0,0.653,0.6486666666666667,0.6452
0,0,1,0,1,0,0,0,0.852,0.5913333333333333,0.73
0,0,1,0,1,0,0,0,0.9970000000000001,0.88,0.7
0,0,1,0,1,0,1,0,0.9949999999999999,0.84,0.72
0,0,1,0,1,0,1,0,0.9890000000000001,0.6846666666666666,0.78
0,0,1,0,1,0,0,0,0.731,0.7533333333333334,0.38
0,0,1,0,1,0,0,0,0.8320000000000001,0.84,0.68
0,0,1,0,1,0,0,0,0.9880000000000001,0.7866666666666667,0.42
1,0,1,0,1,0,0,0,0.296,0.5686666666666667,0.59
0,0,1,0,1,0,1,1,0.743,0.8733333333333333,0.68
1,0,1,0,1,0,1,0,1.0,0.84,0.89
0,0,1,0,1,0,1,0,0.924,0.5980000000000001,0.6252
1,0,1,0,1,0,0,0,0.584,0.8533333333333334,0.58
1,0,1,0,1,0,1,0,0.9039999999999999,0.518,0.82
0,0,1,0,1,0,0,0,0.883,0.7246666666666666,0.67
0,0,1,0,1,0,1,0,0.992,0.8666666666666667,0.8
1,0,1,0,0,0,0,0,0.617,0.618,0.71
1,0,1,0,1,0,1,0,0.46299999999999997,0.8066666666666666,0.71
0,0,1,0,0,0,0,0,0.9400000000000001,0.6880000000000001,0.8
1,0,1,0,1,0,1,0,0.779,0.9,0.91
0,0,1,0,1,0,1,1,0.9890000000000001,0.88,0.78
0,0,1,0,0,1,0,0,0.767,0.7846666666666666,0.0
1,0,1,0,0,0,0,0,0.692,0.5619999999999999,0.6851999999999999
0,0,1,0,1,0,0,0,0.9949999999999999,0.88,0.7852
0,0,1,0,1,0,0,0,0.933,0.7753333333333334,0.84
1,0,1,0,1,0,0,0,0.8800000000000001,0.7733333333333333,0.6
1,0,1,0,1,0,0,0,0.9630000000000001,0.8533333333333334,0.5852
1,0,1,0,1,0,1,0,0.9349999999999999,0.88,0.7051999999999999
1,0,1,0,1,0,1,0,0.9949999999999999,0.8200000000000001,0.76
1,0,1,0,0,0,1,0,0.9349999999999999,0.7799999999999999,0.6352
1,0,1,0,1,0,0,0,0.9869999999999999,0.8666666666666667,0.6452
1,0,1,0,1,0,0,0,0.9269999999999999,0.8066666666666666,0.36
1,0,1,0,1,0,1,0,0.9810000000000001,0.8933333333333333,0.6751999999999999
0,0,1,0,1,0,1,0,0.9970000000000001,0.8533333333333334,0.89
1,0,1,0,1,0,1,0,0.9949999999999999,0.84,0.83
1,0,1,0,1,0,0,0,0.9890000000000001,0.9066666666666666,0.6851999999999999
0,0,1,0,1,0,1,0,0.867,0.84,0.83
1,0,1,0,1,0,1,0,1.0,0.8333333333333334,0.79
0,0,1,0,1,0,1,0,0.8400000000000001,0.748,0.6652
0,0,1,0,1,0,0,0,0.67,0.7333333333333333,0.67
0,0,1,0,1,0,1,0,0.9650000000000001,0.84,0.63
0,0,1,0,1,0,1,0,1.0,0.8466666666666666,0.73
1,0,1,0,1,0,1,0,0.992,0.88,0.7352
0,0,1,0,1,0,1,0,0.992,0.87,0.6352
1,0,1,0,1,0,0,0,0.765,0.6413333333333333,0.46
1,0,1,0,1,0,1,1,0.913,0.7866666666666667,0.86
0,0,1,0,1,0,1,0,0.992,0.8466666666666666,0.76
1,0,1,0,1,0,0,0,0.9890000000000001,0.84,0.76
1,0,1,0,1,0,1,1,0.889,0.8533333333333334,0.83
0,0,1,0,1,0,1,0,0.861,0.828,0.75
1,0,1,0,1,0,1,0,0.991,0.8533333333333334,0.9
0,0,1,0,1,0,1,0,1.0,0.8466666666666666,0.93
1,0,1,0,1,0,0,0,0.0,0.7166666666666667,0.5252
0,0,1,0,1,0,1,1,0.9970000000000001,0.86,0.95
0,0,1,0,1,0,1,0,1.0,0.8333333333333334,0.84
1,0,1,0,1,0,1,0,0.9890000000000001,0.84,0.71
1,0,1,0,1,0,0,0,0.985,0.7866666666666667,0.6
1,0,1,0,1,0,0,0,0.993,0.8333333333333334,0.42
0,0,1,0,1,0,1,0,0.868,0.88,0.78
1,0,1,0,1,0,1,0,0.8210000000000001,0.7866666666666667,0.88
1,0,1,0,1,0,0,0,0.829,0.7153333333333334,0.77
1,0,1,0,1,0,0,0,0.492,0.8066666666666666,0.78
0,0,1,0,1,0,0,0,1.0,0.88,0.8
0,0,1,0,1,0,0,0,0.992,0.7113333333333334,0.8
0,0,1,0,1,0,0,0,0.732,0.478,0.58
1,0,1,0,1,0,0,0,0.828,0.7046666666666667,0.59
1,0,1,0,1,0,0,0,0.653,0.38,0.4
1,0,1,0,1,0,1,0,0.9970000000000001,0.7733333333333333,0.78
0,0,1,0,1,0,1,1,0.991,0.88,0.79
1,0,1,0,1,0,0,0,1.0,0.8533333333333334,0.6751999999999999
1,0,1,0,1,0,0,0,0.933,0.88,0.5
1,0,1,0,1,1,0,0,0.9970000000000001,0.8933333333333333,0.7152
1,0,1,0,1,0,1,0,0.9869999999999999,0.8533333333333334,0.9
0,0,1,0,1,0,0,0,0.8560000000000001,0.8533333333333334,0.34
1,0,1,0,1,0,1,0,0.984,0.8200000000000001,0.79
1,0,1,0,0,0,0,0,0.8960000000000001,0.4513333333333333,0.7
1,0,1,0,1,0,1,0,1.0,0.84,0.32
0,0,1,0,1,0,0,0,0.944,0.7046666666666667,0.74
1,0,1,0,1,0,1,1,0.932,0.8533333333333334,0.81
1,0,1,0,1,0,0,0,0.9810000000000001,0.8733333333333333,0.42
1,0,1,0,0,0,0,0,0.9119999999999999,0.8933333333333333,0.5
0,0,1,0,1,0,0,0,0.992,0.8533333333333334,0.9
0,0,1,0,1,0,1,0,0.975,0.8733333333333333,0.83
0,0,1,0,1,0,1,0,0.9810000000000001,0.8466666666666666,0.73
0,0,1,0,0,0,0,0,0.849,0.5753333333333334,0.56
0,0,1,0,1,0,1,1,1.0,0.88,0.8251999999999999
0,0,1,0,0,0,0,0,0.925,0.7799999999999999,0.6
